titulo;empresa;localizacion;jornada;contrato;salario
 Operativo de Limpieza; Cooperativa Jep; Zamora, Zamora-Chinchipe; Tiempo Completo; Contrato por tiempo indefinido; 448,00 US$ 
 Cajero; Cooperativa Jep; Zamora, Zamora-Chinchipe; Tiempo Completo; Contrato por tiempo indefinido; 525,00 US$ 
 Asistente de Auditoría; Cooperativa San Francisco de Asis; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Asesor de captaciones; Cooperativa San Francisco de Asis; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 598,00 US$ 
 Asistente de auditoría; Cooperativa San Francisco de Asis; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 700,00 US$ 
 Recepcionista; Cooperativa San Francisco de Asis; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asesor Comercial de Aditivos Quimicos; Coproquim S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Operador de máquina; CORDELERIA NACIONAL S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Guardia de segurIdad; CORDELERIA NACIONAL S.A.; Samborondón, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Desarrollador web; Corefix; México; Desde Casa; Contrato de obra o labor; A convenir
 warehouse; Cories Test; Biblián, Cañar; Desde Casa; Contrato de obra o labor; 2.020,00 US$ 
 Warehouse; Cories Test; Chillanes, Bolívar; Por Horas; Contrato de Aprendizaje; A convenir
 warehouse; Cories Test; Espejo, Carchi; Por Horas; Contrato por tiempo indefinido; A convenir
 Vendedor; Corpmaqplast Cía. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asistente legal; Corporacion Assidere; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Agente Vendedor; CORPORACION COBOS & COBOS; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 398,00 US$ 
 Asistente Contable; CORPORACION COBOS & COBOS; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 397,00 US$ 
 Docencia Universitaria; Corporacion de Desarrollo Empresarial y Proyectos(CODEPRO); Ambato, Tungurahua; Tiempo Completo; Contrato de obra o labor; 400,00 US$ 
 Docente en metodológica de la Investigación; Corporacion de Desarrollo Empresarial y Proyectos(CODEPRO); Ambato, Tungurahua; Tiempo Completo; Contrato de obra o labor; 400,00 US$ 
 Docente diagnostico e intervención dislexia,la disortografia; Corporacion de Desarrollo Empresarial y Proyectos(CODEPRO); Ambato, Tungurahua; Tiempo Completo; Contrato de obra o labor; 400,00 US$ 
 Docente de inglés; Corporacion de Desarrollo Empresarial y Proyectos(CODEPRO); Ambato, Tungurahua; Tiempo Completo; Contrato de obra o labor; 400,00 US$ 
 Técnico Instalador de Audio y Video; Corporación Falcones; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Especialista en Proyectos y Compras Públicas; Corporación Falcones; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente Contable; CORPORACION FOREVER EXPERIENCE; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Ejecutivo de Ventas; CORPORACION FOREVER EXPERIENCE; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Ejecutiva de ventas y marketing; Corporación Kaizen S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de Procesos; Corporación Kaizen S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ejecutiva de ventas y marketing; Corporación Kaizen S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Asistente Contable CBA; Corporación Kaizen S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asistente de procesos; Corporación Kaizen S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Ejecutiva de ventas; Corporación Kaizen S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Ejecutiva de ventas y marketing; Corporación Kaizen S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asistente administrativa y comercial; Corporación Kaizen S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Ejecutiva de ventas; Corporación Kaizen S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Ejecutiva de ventas; Corporación Kaizen S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Instructor Curso de Manejo Defensivo; Corporación PEER; Quito, Pichincha; Por Horas; Contrato de obra o labor; A convenir
 Cajera Auxiliar Cobranza; Corporación Talento Humano; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Operarios de maquinaria textil circulares y estampadora; Cortyvis Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 WareHouse; Cory Land Mem; El Guabo, El Oro; Tiempo Completo; Contrato por tiempo determinado; A convenir
 WareHouse; Cory Land Mem; El Guabo, El Oro; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Gestor de Marketing Digital; Coumunidad Kichwa Añangu; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Marketing Digital; Coumunidad Kichwa Añangu; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.000,00 US$ 
 Salonero Polifuncional; COUNTRY CLUB FAE; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auxiliar de servicios generales; COUNTRY CLUB FAE; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor Junior; CPI CONSTRUCTORA; Ambato, Tungurahua; Tiempo Completo; Otro tipo de contrato; A convenir
 Ing. Civil; CPI CONSTRUCTORA; Ambato, Tungurahua; Tiempo Completo; Contrato de obra o labor; A convenir
 Ing. Eléctrico; CPI CONSTRUCTORA; Ambato, Tungurahua; Tiempo Completo; Contrato de obra o labor; 1.800,00 US$ 
 Ing. Ambiental / Medio Ambiente; CPI CONSTRUCTORA; Ambato, Tungurahua; Tiempo Completo; Contrato de obra o labor; A convenir
 diseñador de look and feel; CreativaMotion; Ecuador; Desde Casa; Contrato por tiempo determinado; A convenir
 Asistente contabilIdad; CRECERSEGUROS CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Mecánico; Cristaleria del Ecuador SA; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ejecutivo de Ventas; Croma del Ecuador; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 550,00 US$ 
 Recepcionista asistente de dirección; Croma del Ecuador; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Auxiliar de cobranza; Croma del Ecuador; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Técnico en Operaciones; Croma del Ecuador; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Auxiliar de cobranza; Croma del Ecuador; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Médico Especialista en Dermatología; Cruz Vital; Quito, Pichincha; Por Horas; Otro tipo de contrato; 800,00 US$ 
 Mensajero/a motorizado/a; Cruz Vital; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Asesor Comercial Corporativo; Cruz Vital; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 800,00 US$ 
 Administrador restaurant; Crystal Spa; Cuenca, Azuay; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Test automation Engineer QA; CTBJ Company MBR; El Chaco, Napo; Desde Casa; Contrato por tiempo determinado; 2.000,00 US$ 
 Vendedor Corporativo; Cuestionarix S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 750,00 US$ 
 Tapicero; Curtiembre Renaciente S.A.; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Jefe de Almacén; Curtiembre Renaciente S.A.; Manta, Manabí; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 guardia de seguridad; Custosecurity Cia. Ltda.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Ejecutivo Freelance; D&R INSURANCE BROKER; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Agente de Seguros; D&R INSURANCE BROKER; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Administrador de Tienda; DAMMTOR S.A.; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Administrador de Tienda; DAMMTOR S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Administrador de Tienda; DAMMTOR S.A.; Manta, Manabí; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Administrador de Tienda; DAMMTOR S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Teleoperador/a; DATASERVICES; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Teleoperador/a de ventas; DATASERVICES; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 400,00 US$ 
 Presentadora; DAYSOFI; Ambato, Tungurahua; Por Horas; Contrato por tiempo indefinido; A convenir
 Cajero polifuncional; Daytona Motors; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Vendedor de Lubricantes; DAZ CONSULTING; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; 800,00 US$ 
 Vendedor de Lubricantes; DAZ CONSULTING; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; 800,00 US$ 
 Vendedora de Concesionaria; DAZ CONSULTING; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 1.000,00 US$ 
 Ejecutiva de Ventas; DAZ CONSULTING; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Guitarrista acustico; DAZ CONSULTING; Guayaquil, Guayas; Por Horas; Contrato por tiempo indefinido; 394,00 US$ 
 Administrador Residencial; DAZ CONSULTING; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 800,00 US$ 
 Administrador Residencial; DAZ CONSULTING; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 800,00 US$ 
 Ejecutivo de Ventas; DAZ CONSULTING; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 800,00 US$ 
 Ejecutivo de Maquinaria Agrícola; DAZ CONSULTING; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 800,00 US$ 
 Supervisor contable; Dbrag Contadores; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de auditoria; Dbrag Contadores; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 420,00 US$ 
 Señorita Representante de servicio al cliente; Dca Sistemas; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Señorita Promotora; Dca Sistemas; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 420,00 US$ 
 Contador / Contadora; Decision c.a.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente Administrativo; DECORPLACE; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asistente del Area de Talleres; Delpyg S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Vendedor de Repuestos y Servicios para Manta; Delpyg S.A.; Manta, Manabí; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Mecánico automotriz para Montacargas; Delpyg S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asesor Comercial; DEMING SOLUTIONS S.A.; Machala, El Oro; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de Ventas y Marketing; Dentalwork; Guayaquil, Guayas; Medio Tiempo; Otro tipo de contrato; A convenir
 Cosmetóloga Centro Comercial; Depilarte; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 409,00 US$ 
 Cosmetóloga en Quito; Depilarte; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Cosmetóloga tiempo completo; Depilarte; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 409,00 US$ 
 Asistente de Gerencia; DEPRODEMAR CIA. LTDA.; Esmeraldas, Esmeraldas; Tiempo Completo; Otro tipo de contrato; 600,00 US$ 
 Ingeniero en Alimentos; DEPRODEMAR CIA. LTDA.; Esmeraldas, Esmeraldas; Tiempo Completo; Otro tipo de contrato; 1.200,00 US$ 
 Digitador/a; DESPACHOS ADUANEROS D&A; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Asistente administración; DESPACHOS ADUANEROS D&A; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 500,00 US$ 
 Auxiliar de Aduana; DESPACHOS ADUANEROS D&A; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 501,00 US$ 
 Prestigiosa Empresa Textíl; DHISVE; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Prestigiosa empresa Textil requiere contratar; DHISVE; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Prestigiosa Empresa Textil Requiere Contratar; DHISVE; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Asistente contable; DIAGEN; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Mecánico Automotriz Con Experiencia; DiagnostiCar; Lago Agrio, Sucumbíos; Tiempo Completo; Contrato por tiempo determinado; A convenir
 supervisores de ventas; DICOLAIC; Latacunga, Cotopaxi; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 vendedor; DICOLAIC; Latacunga, Cotopaxi; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente contabilIdad; DICOLAIC; Latacunga, Cotopaxi; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asistente/a en contabilIdad; Dicomec; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Dibujante; Dicomec; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Auxiliar; Dicomec; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Administrativo comercial; DICOMIMPORT CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 496,00 US$ 
 Administrativo/a recepcionista; DICOMIMPORT CIA LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 496,00 US$ 
 Vendedores de cobertura; Dicomworld Compañía de Responsabilidad Limitada; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente contable Sexo femenino; Didelpa S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asistente contable; Didelpa S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Ayudante de bodega; Didelpa S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 400,00 US$ 
 Asistente contable; Didelpa S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 447,00 US$ 
 Ejecutivo Comercial; Diego Castillo; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Médico/a veterinario; Digeca S.A.; Empalme, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Ayudante Técnico; Digeca S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 450,00 US$ 
 Asistente de producción; Digeca S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 409,00 US$ 
 Chófer camión repartIdor; Digeca S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 409,00 US$ 
 Repartidor; Digeca S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 407,00 US$ 
 Asistente; Digeca S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Vendedora Promotora; DIGITAL HACKER´S; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor en Ventas; DIGITEC S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 20.000,00 US$ 
 Empresarios mención ventas; DIGITEC S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Desarrollador de negocio; DIGITEC S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ejecutivo comercial; DIGITEC S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Agente de seguridad; DIMABRU CIA.LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Chófer mensajero repartidor; DIMATER; Quevedo, Los Ríos; Por Horas; Otro tipo de contrato; 400,00 US$ 
 Impulsador/a Loja/Riobamba/ Ambato; Dipaso; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de Contabilidad; Dipaso; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; 600,00 US$ 
 Pasante administrativo/a; DIRECTV; Guayaquil, Guayas; Tiempo Completo; Contrato de Aprendizaje; A convenir
 Asistente de Recursos Humanos; Disetec Cia.Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor consumo masivo; DISMARSALECUADOR S.A.; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendeedor Guayaquil; DISMARSALECUADOR S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 1.000,00 US$ 
 Analista de cartera y cobranzas; DISMUVISA; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Bodeguero; Disprovef Ecuador S.A; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor comisionista; Distribuidora ALPOS; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 394,00 US$ 
 Lider Logistico; Distribuidora Campoverde; Machala, El Oro; Tiempo Completo; Otro tipo de contrato; 1.200,00 US$ 
 Líder comercial; Distribuidora Campoverde; Machala, El Oro; Tiempo Completo; Otro tipo de contrato; 1.200,00 US$ 
 Chofer Tipo C Multifunción; Distribuidora Génesis; Quito, Pichincha; Por Horas; Otro tipo de contrato; 410,00 US$ 
 Vendedor de Artículos de Ferretería; Distribuidora Oroplast; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Profesional Contable; Distribuidora Oroplast; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 450,00 US$ 
 Servicio tecnico; Distrited; Machala, El Oro; Tiempo Completo; Otro tipo de contrato; 500,00 US$ 
 Administrativo/a recepcionista; DISTRITEX S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 supervisor; Diversey; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Vendedor/a; Diversey; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 800,00 US$ 
 Auxiliar de limpieza; Diversey; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Teleoperador/a de Call Center; DMG CALL CENTER; Guayaquil, Guayas; Medio Tiempo; Contrato por tiempo determinado; 394,00 US$ 
 Asesor de Call Center; DMG CALL CENTER; Guayaquil, Guayas; Medio Tiempo; Contrato por tiempo determinado; 394,00 US$ 
 Médico/a veterinario; Dogs & Cats; Ibarra, Imbabura; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Carpintero; domus galeria; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auxiliar Comercial; DON TABLERO; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Ingeniero informático en Ambato; Dots; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Vendedor; DULCES GOXUA; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Pasante de ingeniería en alimentos; DULCES GOXUA; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; A convenir
 Asistente en Recepción; Duramas Cía. Ltda. Matriz; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Arquitectos, Diseñadores de Interiores; Duramas Cía. Ltda. Matriz; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asistente Administrativo y Ventas; Duramas Cía. Ltda. Matriz; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Arquitectos, Diseñadores de Interiores o afines,; Duramas Cía. Ltda. Matriz; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor Comercial; Duramas Cía. Ltda. Matriz; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Chofer Profesional; Duramas Cía. Ltda. Matriz; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 394,00 US$ 
 Maestro Albañil; Durán City; Durán, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Pasante en Sistemas; Dynamic Electronic Systems; Quito, Pichincha; Beca/Prácticas; Otro tipo de contrato; A convenir
 Programador phyton; E CONTROL AND RISK MANAGMENT ECRM CIA. LTDA.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Administrador/a de sistemas; E CONTROL AND RISK MANAGMENT ECRM CIA. LTDA.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auxiliar Tecnico Aires Acondicionados; EATEC - INME SOCIEDAD EN CUENTAS EN PARTICIPACION; Quito, Pichincha; Tiempo Completo; Contrato de obra o labor; A convenir
 Auxiliar administrativo contable; EATEC - INME SOCIEDAD EN CUENTAS EN PARTICIPACION; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente De Coordinación Trilingue IglésRuso; Ebf Cargo Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente/a de operaciones; Ecoandestravel; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Analista de costos e inventarios; Ecoandestravel; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Programa de Reclutamiento ecointergia 2020; ECOINTERGIA. S.A; Guayaquil, Guayas; Medio Tiempo; Contrato de Aprendizaje; A convenir
 Mercaderista Guayaquil; ECOPACIFIC EMPRESA COMERCIAL DEL PACIFICO S. A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 407,00 US$ 
 Pasante Comercial; ECOPACIFIC EMPRESA COMERCIAL DEL PACIFICO S. A.; Rumiñahui, Pichincha; Beca/Prácticas; Otro tipo de contrato; A convenir
 Operario de Mantenimiento; ECOPACIFIC EMPRESA COMERCIAL DEL PACIFICO S. A.; Rumiñahui, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 408,00 US$ 
 Auxiliar contable; ECOPACIFIC EMPRESA COMERCIAL DEL PACIFICO S. A.; Rumiñahui, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asistente Auditoría, Senior Auditoría y Asistente Contable; ECOVIS Ecuador; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Gestor telefónico; ECUACOBRANZAS S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Administrativo operaciones; Ecuador Treasure; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente/a de márketing; Ecuador Wonders; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Vendedor Mayorista; ECUAGOLOSINAS; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Azogues, Cañar; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Chone, Manabí; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Esmeraldas, Esmeraldas; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Francisco de Orellana, Orellana; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Guaranda, Bolívar; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Macas (Morona), Morona-Santiago; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Machala, El Oro; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Quevedo, Los Ríos; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Pasante Diseño Grafico; ECUAGOLOSINAS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Pasante área de Marketing; ECUAGOLOSINAS; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Ingeniera en alimento o Quimica; ECUAGOLOSINAS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Pasante área de Marketing; ECUAGOLOSINAS; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Pasante Diseño Grafico; ECUAGOLOSINAS; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Venta Mayorista; ECUAGOLOSINAS; Riobamba, Chimborazo; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Riobamba, Chimborazo; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
 Vendedor Tienda a Tienda (T.A.T) con Vehículo propio; ECUAGOLOSINAS; Santa Elena, Santa Elena; Tiempo Completo; Contrato por tiempo indefinido; 1.500,00 US$ 
